review,label
"Parece la típica historia de guerra en el espacio hasta que la historia da un giro bestial y te engancha. Por otra parte no he visto (Al menos en este libro que los personajes cambien con la historia ...). No obstante, es el primer libro de esta temática que cae en mis manos y me ha gustado mucho, el uso que hace de la gravedad, las aceleraciones, la física que emplea es muy interesante",1
The large pot is too small,0
Will continue to buy.,1
"I love these headphones, when they work. I used them daily for about a week, at which point the left earpiece just quit working. It wouldn’t even charge. Talked to customer service, and this is apparently a fairly common issue. So I will return them, but because I liked them so much better than anything else available at a similar price, I will roll the dice and order a new a pair and hope I don’t get another lemon.",0
Love the series. The only reason why I gave it 4 stars instead of 5 is that the whole series is not available on Kindle. 😥,1
"Bonitos y originales, pero, por el material que es, sobre todo el blanco se ensucia rapidísimo. No volvería a comprarlo por este motivo.",0
"NOT worth the money or complicated install. Would never fully turn off and would drip non stop. Bought in Sept and the inside pieces already broke. Contacted Enzo for warranty help, they're willing to send replacement parts but we opted to just replace the faucet...",0
"Used with our three dogs according to directions. No apparent benefit for two of our dogs, and the yeast may have actually compounded the problem of allergies with the third.",0
This product is very pretty and I love the special clasps that make it easy to install on jewelry. However the magnets tend to come loose and have to be re glued and it is quite heavy so it tends to slip forward on your neck.,1
"Todos los días igual, si no saben hacer facturas no sé par que venden en internet. cuando compras un equipo pues supongo que te da igual, pero cuando compras 100 ya necesitas factura y si no te la dan vamos fino, eso me pasa por comprar por aqui",0
Demasiado ruido y poco potente. Es util para poco más que un armario.,0
Made from low quality materials. Very disappointed.,0
"the fan stop working after almost a month of using it, tried to change the fuse it still doesn't work, my 10 dollar plastic fans are still running overpriced piece of shit!",0
"Doesn’t stay put. Straight up fell down after a month and hit my kid on the head, then put a dent in the shower. Been 30 days, no refund available? Real chill, guys...",0
"Buena compra y facil de usar.La acabo de estrenar con unos nuggets con patatas y las patata finas salen crujientes como con aceite pero al no llevar grasa resulta menos pesada la comida.Al no llevar aceite te puede parecer el sabor distinto al principio. Hay q precalentar 3 minut la freidora y luego poner la comida. Menos mal que pedi la mas pequeña porque es bastante grande.no la esperaba tan grande.Ya llevo mes y medio con ella y estoy encantada es rápida,cómoda no manchas la cocina.Los pimientos asados se hacen rápido y buenísimos y los bizcochos salen estupendos.He comprado el pack de accesorios y es muy práctico .Me alegro de haberla comprado ahora haces comida sana en menos tiempo y manchas menos y no tienes olores en la cocina.Hay que ir probando los tiempos para adaptarlo al gusto de cada uno.",1
"Very comfortable, although the material is a little stiffer than I had expected. I marked ""fit as expected"" but I purposely ordered one size below what I would normally wear. It's a bit snug, but I'm happy.",1
"Después de usarlo un tiempo puedo decir que es un producto de calidad, bonito y con un tamaño, para mi gusto, que permite guardar todo lo que necesites.",1
"I've had this 3 gallon tank for exactly 1 year. The lights are still perfect. Filter still works perfectly. My major issues with the tank is the covering. The tank has a glass cover for the entire tank. It also has a thin black plastic cover for the filter. Unfortunately, the black thing plastic cover doesn't seal like the glass cover so it let's in dust, etc. With all that said, I LOVE THIS TANK. I want to upgrade from my current 3 gallon tank to a 10 gallon tank relatively soon. I won't be going with this brand for the 10 gallon tank because of the covers not sealing completely. With that being said, for someone looking for a fish thank that is small and great to have as a decoration, this 3 gallon tank is fantastic.",1
"Flawed disc, stopped about 5-10 minutes before the end.of the movie. Not up to Amazone standards.",0
"This product has problems; when you try to assemble it you quickly realize some of the drill holes (especially on the top shelf) are too close together by approximately 1/8 inch. The only way you can assemble this product is to forcibly bend the heavy duty wire retaining pieces until they slide into the drill holes. Even then, ""slide"" is not the correct word because you have to beat them into place with a rubber mallet: Assuming you are strong enough to do this, once beaten into place the bent- wire retainer pieces will try to spring open; this runs the permanent risk of splitting the wooden shelf into two or more pieces. If that happens this under sink shelf unit will not be a pretty sight!",0
Don’t but. This is very uncomfortable and it was in the garbage can by the end of the day. The fabric had a butch of small perforated holes (it is the style) and the skin would “try to leak out” of it making it super uncomfortable within the hour.,0
Went pretty well. Hardest part was getting the case opened. The plastic tool didn't work so well for that. I had to improvise.,1
These were smaller than expected and the material wasn't very soft as described. They are also not high-waisted as stated in the description,0
"All tested and working properly upon arrival, seem to be just what I was looking for.",1
"I ordered the 2-pack, there was only one glass inside.",0
Smells AMAZING and feels super silky and smooth,1
"I will be returning this item. The bottom bracket does not adjust as per instructions. The charging indicator shows sometimes, but does not charge phone. This is a Galaxy S10 Plus, with a punk case. If the bottom actually adjusted this might have worked. Otherwise I very clever design but not fully thought out.",0
"I hate to give this product one star when it probably deserves 5. My dog has chronic itchy skin and I had high hopes that this product would be the answer to his skin issues. I'll never know because he won't eat them. At first I gave them to him as a treat. He sniffed it and walked away. I crumbled just one up in his food but he was onto me and wouldn't touch it. So, sadly, the search continues.",0
"No ajusta bien cuando utilizas el side swipe se mueve lo que dificulta su función, material demasiado fino",0
"Works as expected. Well made, and seems sturdy. I would recommend this.",1
The are nice Bluetooth headphones!! The have great sound even thought out the house when i clean. They are light and comfy too. They are priced pretty reasonable too!,1
"Awesome product, perfect fit, keeps the dash protected and the car cool",1
"The saying was beautiful , the plaque is warped It cannot be placed on the base we have for our dog. Would like it replaced",0
It is a round label - not much to say,1
Very breathable and easy to put on.,1
"If you are looking for a good slight wedge pillow with back supporting incline this is not the pillow for you. I purchased this pillow because I am a back sleeper and I wanted a slight incline and cervical support. I opened package let it completely expand. I then laid down for 15 minutes to see if it would work for me. Short answer is NOPE. It claims to be a very supportive memory foam wedge with support for your neck. They do not say that you need to have a specific length of neck for this pillow to be comfortable. I do not have a long neck, however it isn't that short. This pillow did not give the correct alignment for my cervical vertebra to be curved properly. Also the supportive part ends at almost a standard pillow size and then there is a soft floppy pad of light weight and very soft 1"" memory foam. That accounts for half the pillows length. After 5-10 minutes my lower back started to spasm. I will give benefit of the doubt here and add a disclaimer that maybe I happened to get a defective pillow. Maybe it was not up to the company's typical standards. I am returning it with no plans on exchanging it for another of the same pillow.",0
"Don't waste your money on this belt, it lasted less than 2 months and already broke, i have to reinstall the old belt for now till I get a new 1, absolutely terrible craftsmanship on this belt.",0
This slime is not fluffy it was very sticky. The picture shows the slime swirled together and you cannot do that with this slime.,0
Too small...even for a child. Dissapointed,0
Pillow is very uncomfortable. Mine had a large lump of stuffing in the corner and the rest of the pillow was flat. I will not purchase this again.,0
"I really like these capris. I ordered three. I work out in them and because they don't look like workout capris, I can wear them with a long tunic and the whole outfit looks very nice.",1
"Bonito, no demasiado caliente, a menos que lleves un buen forro polar debajo, y al poco tiempo, se despegó uno de los velcros de los puños. Pero por lo demás, está muy bien. Viene con su capucha.",1
En la primera puesta se desgarró de na costura. Deja bastante que desear la calidad del producto,0
This product is very hard to use.,0
"The product here worked as a video cord and it did provide video to the TV. The problem I ran into was that I still got the same, poor display of video, but I think it's because the new TCL Roku TV, doesn't like older systems. Even my plug and play joysticks that I have don't show up as well on the Roku TV. The Atari Flashback works perfectly fine however on the Roku TV. Final Thoughts: I'll need to try and find a small, 15 or 19"" tube TV if I want to play my 93 Atari cartridges on an actual Atari console.",1
"I’ve had my Mavic Air for 2 months now, flown it in North America and Asia in multiple environments and this has been by far the best accessory I have bought for my Mavic Air. It was quickly delivered, packaged efficiently, and fits the gimbal perfectly. Gimbal movement works great and no difference as advertised; glares are significantly reduced and shots aren’t overexposed thanks to the lens (see attached photos)! After looking through many other Mavic Air lens products, this is by far the best price and quality option...I would highly recommend it!",1
I bought this espresso set for my boss as a gift. It came in very nice and sturdy package. I was afraid that it will arrive broken from my last experience ordered glass item but didn’t have any problems at all. Great size. Not too small and it has very unique shape. The only reason I am giving 4 stars is vecause the leaf plate is a bit too smooth.,1
Just what I was expecting. Looks really cute.,1
Too large need to send back for smaller size,0
"Llevo desde diciembre con el adaptador y hace tres meses o así que no se oye bien, solo por un lado y si consigues la posición , muy mala calidad.",0
3 out of 4 failed within the first week. I think I still have one after a month or so.,0
"Todo Correcto, Todo como en la descripción, se escuchan muy bien es mas mejor de lo que pensamos,la tienda perfecta",1
"Perfect chairs for my home office! I wanted the swivel and no wheels. Reasonably comfortable, seat cushion is a bit like memory foam... great modern look. Easy to put the base on... four screws, and came with the tool.",1
"After 5 or 6 washings, these socks lost their elasticity at the top, causing the sock to fall inside my shoes beneath my heel. Find a better quality product.",0
should come with the glue to hold it in place,1
The individual packets inside damaged box appear intact but feel I now have to inspect each packet for tampering prior to using.,0
Trying to figure out how to use it from terrible instructions in broken English. I understand the concepts but have not seen the results.,0
Doesn't do what's advertised. Don't waste your time ordering this.,0
"It's been a long time since I've read a good shifter fated mate book. I really liked this novel. I just wish we had more time with the couple after the full moon, to show that the sparks between them continued.",1
the first pill about 2 hours latter i got a headache ...so i thought maybe i was getting a headache anyway after 3 in a row ...well it doesn't work for me !!!,0
The only reason this doesn’t get 5 stars is because it globs up in water making a thick paste. Otherwise AWESOME buy for the price. Works great in coffee and shakes but globs up and sticks to the bottom in a pitcher of water.,1
"I bought this twice. The first time, the longest two cords stopped working within a week or two. I ordered it again and the same thing happened. By the time I contacted amazon, I missed the return window. Amazon needs to ease up on the return window for certain products and stand behind their customers.",0
My son loves this. He loves playing with tools and always have issues with carrying them around. Everytime that I bring my tools out he wheels his cart out. It isn't as strudy as I thought but still great for the value.,1
"Really nice stainless steel pop, works perfect, the only way to make popcorn, we love our Great Northern brand, Best deal out there thru Amazon",1
"Not a typical Christmas story. Reindeers have different names, my kids struggled to follow. Also book arrived in poor condition.",0
Not very durable. It’s less than a week after Christmas and the blender is barely holding together.,0
"SUPER cute, design was just as pictured. Thin, you can see the print on the other side but not a deal breaker since its SO cute!",1
Much smaller than you think. Would be great if they were a little bigger.,0
"It took a little help for my 6 year old to get started, but he was able to complete it on his own. I don't know about replay value, but I 30 minutes to put together another 30 to show everyone his accomplishment. It was worth it.",1
No setup needed however this remote is useless as you can’t return to the home screen or bring up the tool bar.,0
"un movil muy versátil y estupendo tamaño. quería algo pequeño, ya llevo 2 años con él y es muy bueno.",1
Product sucks. The stuff you're supposed to peal off won't come off. I wasted 2 trying to pray it off.,0
"Arrived busted in 2 corners and the box was ripped, looked like they were reselling a returned product.",0
"Love it! Arrived as stated! Fast service! All the straps, tie downs, and blind come with the Liberator Wedge/Ramp Combo. Highly recommended!",1
Like the taste of these a lot. Not super sweet but not bitter.,1
"Jason hand and body great smell great softness great moisturizing. But how it cam in the package where it must have been very hot they were very warm tubes, hope they don't loose any of their potency???????????",0
"Great sunglasses!!! Bought another pair of sunglasses and they were broken wi a week. These are durable, look good, great quality.",1
"The cuffs are exactly as the picture shows. However, I lost one with in the first hour of wearing them because you can not adjust the size.",0
really useful device works great,1
En un principio todo bien pero ahora ya no va. Tiene una mancha negra en el centro de la imagen.,0
"I purchased these in February. Recently I tried to use them and unfortunately each time I try one my Keurig machine gives me an error message that the pod is not compatible with my machine. I have been using Donut Shop pods in my machine since I first purchased it and have never had a problem. Upon closer examination of the coffee pod, I noticed that the code printed on the top of the pod isn't very legible so I can only assume that I have a bad box. I purchased a box of 72 which is 6 boxes of 12 each. I have even tried one from each of the 6 boxes and keep getting the same error message. I know it's not my machine because other pods I try work just fine. It's only out of this shipment that I am having this issue. Very disappointing since my return window has expired. UPDATE: I talked to a customer representative who refunded by money. Thank you AMAZON for your wonderful customer support!",0
"Works and light weight, but easy to get all the sheets wet and clumped together which turns all the sheets into a thin bar of soap. Not user friendly, which is a bummer because they are light weight and work well as soap.",0
"Let me.start by saying when they say same day delivery, they are not playing ordered in the morning and got it later that afternoon. The tank is incredible good size has plenty of space It does not get in the way while you ride 2 thumbs up and 5 stars",1
"They did fit over my glasses, no scratches but quality of the frame material is cheap. Will not return as they will do.",0
Por el precio es un buen producto. De sobra para proteger el portátil. Recomendable,1
They don’t even work.,0
"Está muy bien para uso escolar, y me encanta que es muy personalizable.",1
The sound was way off. It was almost 2 seconds off of the mouth or action.,0
Las medidas y los colores corresponden tal cual a la foto y a la descripción. Van perfecta en la estantería Kallax de Ikea.,1
"Quick read, good for busy moms who don't have a lot of time. Inspirational. To the point. Looking forward to reading more of her books!",1
This book as always did not dissapoint me. Action. Humour. Family. I have always enjoyed reading this authors excellent writing,1
I liked this product. On the top of container there is a 20% off second order. I scanned but did not receive code so I paid full price for second container. Disappointed!,1
Nice concept but it ripped in half within the first two months of use.,0
"Es cierto que es barato, pero realmente no compensa mucho. En mi caso el nunchuck no funcionó jamás. En fin, teníamos un nunchuck de otro kit fallido y entre ambos completamos el juego. Pero vamos, que es una pena: el paquete viene muy completo, con funda, correa, etc... y por desgracia no debe haber un gran control de calidad, porque el funcionamiento debería ser lo primero.",0
I absolutely love this mask! Snorkeled in Mexico and everything was so clear! No fogging at all! I read a lot of reviews and researched other masks first before buying this one. This mask gives a realistic panoramic view and I felt so much more comfortable breathing normally rather than traditional snorkel. Just do it.,1
Lectura rápida y sencilla,1
"We only use the clock for time, not as an alarm. The letters are large and easy to read from across the room. However, even the dim setting is pretty bright. I would prefer something even dimmer to minimize the amount of light in the bedroom. The power cable has uses a USB connection but does not include a USB power adapter in the box.",1
Only real problem is that people can hear the noise from your headset but besides that perfect,1
Se me rompieron la tenazas al segundo uso. Lo barato sale caro.,0
"I like the fact that it's glass but do not like the fact that this doesn't adhere to the glass surface. There is a gap (air space) between the glass and the phone screen glass. Not ideal. Yes I can turn up the sensitivity but i often find my typing way off. Very annoying. Would NOT buy this again. Then again, I'm no fan of the edge design either, it sucks too.",0
"Product looks great. It's a much better solution than the clutter of numerous DVD cases. I marked it down one star because the cases are not self contained. It would be better if the binding portion of the ""book"" had a zipper to hold all the disks in.",1
Haven't made any recipes yet. But it looks like a great cook book.,1
I would have liked them to be smaller!,0
"Es amplia para estar tumbados dos personas y sentadas 4. No he tenido que comprobar si es antimanchas, aunque lo parece. No se si es impermeable, aunque lo parece. Es fácil de doblar y con una bolsa muy practica, así como las piquetas de clavar que lleva. A mi me hubiese gustado un poco más gruesa",1
"Don’t know why but the costume was very, very wrinkled (plastic). Wondering if it was returned and not properly repackaged. The fan was not powerful enough as to keep the head all up and stretch the wrinkles. It did not look good when I tested it... even less for the price. Sending it back. Runs large. I am 5’7” and I think it would be too hard for me to wear it ... maybe it works well for a taller person or a big guy. Also, the tutu is nothing like the picture.",0
"I bought this for my nieces first birthday and my daughters 2nd birthday. And it’s a hit! Especially since we live in FL, we can practically use it year round. My daughter goes in it every time we go outside. She absolutely loves it.",1
DONT.BUY.THESE. We bought them for Halloween AND NONE OF THEM WORKED. 0 out of 100 worked. Waste of money.,0
"Compre 3, dos cargan bien pero una la he devuelto por no cargar",0
Es muy mona y cómoda xra la mascota.,1
"Le proporciona un gran elegancia y protección al reloj, pero no funciona muy bien el táctil",1
"For the second time, this product came to me defective. The contents do not have enough pressure to spray out the nozzle, so the contents just drip out. Can't use on my hair. How can I receive a refund or a replacement?",0
Worked for 1.5 years and burned out... Would've expected a few more years out of a simple resistor.,0
Love it and it is very expensive. Great gift for a father or grandfather.,1
Very nice looks pretty,1
Caution! If you have a case on your iPhone or iPad you may not be able to use this. It won’t plug in far enough.,0
This is an excellent budget ultrawide for developers. The screen splitting is really useful for CLI and debugging tools.,1
pedi una funda del s6 plus y me a venido una de un movil mas pequeño y muy rayada y usada,0
"In addition to not helping me curb my appetite and not keeping me in ketosis, I can't stand the texture of this! It doesn't mix well at all. I already have a favorite keto base, but I was looking to try something different. I spent a few hours researching different types of keto bases and reading reviews before making my purchase. This product seemed to have great reviews, however I was incredibly disappointed with the results. I have been using this 2-3 times per day and somehow my ketone levels have dropped. With my other keto base I was able to drink it in the morning and fast until the afternoon. When I drink this in the morning, I'm hungry by 10am.",0
No lo he puesto pero parece bien.,1
They were large as described but my dogs had them falling apart in about 10 minutes. Would not reorder,0
I got these as a gift. I've always used Cuisinart Black Teflon for many years but I have to say that this set is absolutely fabulous! I've cooked with them a few times already and cleanup is so easy. Nothing sticks to them and since they can't be used in the dishwasher handwashing is and breeze. I really hope they hold up. Time will tell but ands of now I'm a satisfied customer.,1
they tare at the bands easy.,0
"The color wasn’t even close to the picture/description, as well as the size. The sleeves were too long, while the bottom of the fleece reached almost to my belly button. (I’m 5’5”, 125lbs and ordered a size small.) I’m in the process of returning it after paying $10 to ship it back 🙄 in hopes that I will get a refund. It took almost an entire month to arrive, too. Don’t waste your time.",0
"Not a big fan. I cannot follow the story, because everyone in this show acted too hard. I don't see the characters but only the actors pretending to be whoever was described in the script.",0
"My boyfriend got me this starter set for my birthday. I’ve been doing my nails so often since. I use every bit of this kit. Gelish is a great brand and I’ll stay loyal to their products. The only thing I wouldn’t repurchase in this kit is the led lamp. It is so small. I’m going to go for an auto on/off and one that I can fit both hands into at once. Other than the small lamp, this kit rocks.",1
"This thing works ok, and I like the idea of using plastic grocery sacks. The down side , and the reason for 2 stars, is that it arrived with a crack in the bucket. The box was not damaged in any way that it was shipped in. Possible quality control issue. I was able to fix it with duct tape, but for $28, I expected something better built.",0
"El inhalador está bien, pero el enganche a la luz no me vino el europeo, tengo que comprar un adaptador",0
Top is very comfortable bottom is too loose.,1
"I got this product my mom. she loves it, she says it fits nice and comfortable",1
Producto muy completo de prestaciones y una relación calidad precio muy buena si,1
Did nothing and was nothing,0
Worked like it said it would,1
"Not only did it leak as others have noted, but when I tried to open it, the rivets popped out! Been using other pans for years - never happened before. Complete waste of money. Had to trash it after one use.",0
Very pretty but very small. It won’t fit my wrist.,0
"I ordered 2 packs knowing that there should be 24 treats/lollipops in each package. I did received the 2 package, but to my big disappointment, there were just 12 lollipops in each pack. Where were the other halves of my order? Sorry, but I’m returning them.",0
Nice looking watch but fell apart the first time it was worn.,0
Used it as personal item to carry on plane in addition to my carry-on. It held my camera and extra lens besides some food and some other items. The strap that crossed my body made it feel safer from someone stealing it in tourist areas.,1
Screen didn’t work at all,0
This has problems connecting to my keyboard and mouse. It's like it won't let them recognize each other.,0
Encantada con esta ya las voy comprando dos veces y las volvería a comprar !!!,1
